16:26:31.813 [pool-1-thread-13] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/index/pic/3.jpg', method=GET, headers={Accept= image/webp,image/*,*/*;q=0.8, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Referer= http, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:26:31.814 [pool-1-thread-13] WARN  c.m.webserver.file.ResourceReader - src/test/resources/webapp/index/pic/3.jpg
16:27:30.064 [main] INFO  c.m.w.server.util.ServletContext - Servlet com.miskevich.webserver.data.servlet.IndexServlet@78a773fd was registered by path /index/all
16:27:39.824 [pool-1-thread-1] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/index/all', method=GET, headers={Cache-Control= max-age=0, Accept= text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8, Upgrade-Insecure-Requests= 1, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:27:40.167 [pool-1-thread-1] INFO  c.m.w.s.util.ResponseHeaderGenerator - Headers for servlet were generated
16:28:16.153 [main] INFO  c.m.w.server.util.ServletContext - Servlet com.miskevich.webserver.data.servlet.IndexServlet@14008db3 was registered by path /index/all
16:28:20.831 [pool-1-thread-1] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/index/all', method=GET, headers={Cache-Control= max-age=0, Accept= text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8, Upgrade-Insecure-Requests= 1, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:28:21.206 [pool-1-thread-1] INFO  c.m.w.s.util.ResponseHeaderGenerator - Headers for servlet were generated
16:30:43.078 [main] INFO  c.m.w.server.util.ServletContext - Servlet com.miskevich.webserver.data.servlet.IndexServlet@14008db3 was registered by path /index/all
16:32:10.245 [pool-1-thread-10] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/index/all', method=GET, headers={Cache-Control= max-age=0, Accept= text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8, Upgrade-Insecure-Requests= 1, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:32:10.607 [pool-1-thread-10] INFO  c.m.w.s.util.ResponseHeaderGenerator - Headers for servlet were generated
16:40:13.545 [pool-1-thread-12] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/index/all', method=GET, headers={Cache-Control= max-age=0, Accept= text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8, Upgrade-Insecure-Requests= 1, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:40:13.546 [pool-1-thread-12] INFO  c.m.w.s.util.ResponseHeaderGenerator - Headers for servlet were generated
16:40:54.621 [pool-1-thread-17] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/index/all', method=GET, headers={Cache-Control= max-age=0, Accept= text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8, Upgrade-Insecure-Requests= 1, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:40:54.622 [pool-1-thread-17] INFO  c.m.w.s.util.ResponseHeaderGenerator - Headers for servlet were generated
16:41:26.349 [pool-1-thread-22] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/index/all', method=GET, headers={Cache-Control= max-age=0, Accept= text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8, Upgrade-Insecure-Requests= 1, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:41:26.350 [pool-1-thread-22] INFO  c.m.w.s.util.ResponseHeaderGenerator - Headers for servlet were generated
16:47:42.865 [main] INFO  c.m.w.server.util.ServletContext - Servlet com.miskevich.webserver.data.servlet.IndexServlet@73511076 was registered by path /index/all
16:47:58.339 [pool-1-thread-1] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/index/all', method=GET, headers={Cache-Control= max-age=0, Accept= text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8, Upgrade-Insecure-Requests= 1, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:48:00.535 [pool-1-thread-1] INFO  c.m.w.s.util.ResponseHeaderGenerator - Headers for servlet were generated
16:48:52.670 [pool-1-thread-1] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/index/all', method=GET, headers={Cache-Control= max-age=0, Accept= text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8, Upgrade-Insecure-Requests= 1, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
